Size,TimeMicroseconds
43400,6911.2
43500,8696.4
43600,7329
43700,7455.4
43800,9452.2
43900,10159
44000,7631
44100,8724.4
44200,9781.8
44300,10912.8
44400,10487.6
44500,8467.4
44600,6384.6
44700,10554
44800,8918.8
44900,6979.6
45000,6757.8
45100,5966.6
45200,5318
45300,6288.4
45400,6716.2
45500,10518.8
45600,11136.2
45700,11149.8
45800,10134.6
45900,8292.8
46000,10839.4
46100,7640.6
46200,6744
46300,5953.6
46400,8869
46500,10974.2
46600,11600.4
46700,9732.8
46800,9702.6
46900,7516
47000,7627
47100,6658.8
47200,8081.2
47300,10575.4
47400,9830
47500,10264
47600,10961.2
47700,12817.6
47800,11058.4
47900,10982
48000,10691.8
48100,13194.4
48200,6156.8
48300,10061.6
48400,11679.6
48500,12628.8
48600,10579.6
48700,12437.8
48800,11523
48900,11713
49000,14230
49100,12026.4
49200,12071.4
49300,7081
49400,7722.4
49500,11921
49600,9277.2
49700,8586.2
49800,8543.4
49900,9348.4
50000,10886.4
50100,8553.4
50200,11469.2
50300,10900
50400,10847
50500,11972.6
50600,10123.4
50700,8962.2
50800,10359.8
50900,15803.4
51000,12500.6
51100,11865.6
51200,12803.2
51300,14393.6
51400,6705
51500,10730.4
51600,10930
51700,10601.6
51800,10712.8
51900,10572.2
52000,11032
52100,10243.4
52200,11773.8
52300,11376
52400,11718
52500,13627
52600,16140
52700,15273.8
52800,12421.4
52900,15913.8
53000,15007.2
53100,15509.4
53200,14332.6
53300,12997.6
53400,12054.6
53500,7600.8
53600,7641.4
53700,7844
53800,13817.4
53900,10907
54000,12685.6
54100,12539.4
54200,10501.2
54300,7035
54400,12618.2
54500,11259
54600,10676.6
54700,9221.6
54800,11254.2
54900,12251
55000,11569.2
55100,12199.2
55200,9520.6
55300,7774.2
55400,7703
55500,9899
55600,8455.2
55700,10657.6
55800,12369
55900,10444.2
56000,8176.6
56100,10024.8
56200,12381.8
56300,9782.4
56400,8240
56500,6907.6
56600,10108.2
56700,11339
56800,7281.6
56900,9176
57000,8013.4
57100,7442.4
57200,7626.2
57300,11369.4
57400,13436.6
57500,10878.2
57600,9451.6
57700,11188.6
57800,12589.8
57900,11360.2
58000,12370.8
58100,9159
58200,10406.8
58300,10767.6
58400,16337.2
58500,11375.2
58600,15498.6
58700,10379.6
58800,9924.6
58900,15811.2
59000,17202
59100,12199.6
59200,13435.8
59300,11254.8
59400,10564.4
59500,14678.4
59600,10883.8
59700,10493.8
59800,16224.8
59900,10289.4
60000,11383.2
60100,14671.4
60200,13514.2
60300,14421.6
60400,16897.8
60500,10590.2
60600,11683.4
60700,13595.6
60800,12163.2
60900,13527
61000,14416
61100,14487.6
61200,16892.2
61300,13003.8
61400,9278.2
61500,10127.8
61600,12016.6
61700,10799.8
61800,13338.6
61900,14013.6
62000,15820.4
62100,13836
62200,14308.8
62300,13688.6
62400,8928.8
62500,11149.2
62600,10334.6
62700,15917.4
62800,15100
62900,15030.4
63000,13103.6
63100,12901.4
63200,8358.2
63300,12981.2
63400,13819.6
63500,12995.8
63600,14975.6
63700,11529.4
63800,12679.4
63900,17520.2
64000,13708.6
64100,12722.4
64200,10659
64300,14000.2
64400,13266.6
64500,14342.8
64600,23506
64700,26703.6
64800,28502.4
64900,32774.6
65000,28747
65100,26848.8
65200,20662.2
65300,23458.2
65400,20021.8
65500,20775
65600,27784.4
65700,19537.2
65800,22407.2
65900,19802.6
66000,20415
66100,19408
66200,20435.2
66300,23841
66400,20670.8
66500,20637
66600,18491.2
66700,20652.8
66800,21119.4
66900,19433.4
67000,21480.4
67100,19507
67200,21552.8
67300,20119.2
67400,18951.6
67500,20311
67600,19434.6
67700,20344.2
67800,21271
67900,30122.6
68000,22803.6
68100,20750
68200,22890.2
68300,22487.8
68400,21346.8
68500,19648.2
68600,22161.8
68700,20106.8
68800,20288.2
68900,20785.6
69000,44210.8
69100,47181.2
69200,23350.4
69300,17978.2
69400,17481.2
69500,20238.4
69600,23145.8
69700,21721.8
69800,18039.2
69900,16836.8
70000,15162.6
70100,26813.2
70200,30270.2
70300,35777.6
70400,31622
70500,22900.2
70600,25383.6
70700,24898.6
70800,25482
70900,27498.8
71000,27739.2
71100,40215.2
71200,36774.4
71300,33009.8
71400,33862.8
71500,34288.6
71600,35039.2
71700,37742.6
71800,34102
71900,41475.8
72000,38669.2
72100,33353.6
72200,35255.2
72300,34165.8
72400,36413.6
72500,33940.4
72600,34807.4
72700,42499.6
72800,43147.6
72900,37581
73000,39360.6
73100,38829.8
73200,38604.2
73300,37753
73400,35160.4
73500,34543.8
73600,36511.8
73700,102585
73800,61728.6
73900,32083
74000,39893.4
74100,34945.2
74200,36066.2
74300,34969.2
74400,32701.8
74500,31685.2
74600,31733.6
74700,32604.8
74800,40494.2
74900,35109.6
75000,36458.2
75100,35191.2
75200,36723.4
75300,34910
75400,32870.6
75500,34581.2
75600,32698.2
75700,34500.4
75800,35831.6
75900,36731.2
76000,32127.2
76100,36195.2
76200,41590.4
76300,40574.6
76400,35422
76500,36562.6
76600,35837.4
76700,38400.2
76800,41029.6
76900,38194.6
77000,36073.8
77100,38837.4
77200,36173.4
77300,37933.8
77400,36430.2
77500,35983.4
77600,36092.6
77700,37289.4
77800,38279.4
77900,43457.8
78000,38953.4
78100,40456.4
78200,36201.4
78300,38461.8
78400,38130.8
78500,37454.8
78600,35680.6
78700,35569
78800,44818
78900,38687.2
79000,36769
79100,36568.8
79200,34311.8
79300,39863.8
79400,39940.2
79500,37568
79600,33705.2
79700,33339.2
79800,36960.8
79900,36363.4
80000,35485.8
80100,37020.4
80200,36898.8
80300,38121.6
80400,39978
80500,35390
80600,32626.6
80700,34338
80800,40455.8
80900,37405.4
81000,37787.6
81100,36015.8
81200,36549.8
81300,38264.8
81400,36769.4
81500,36245.2
81600,36975.4
81700,36618.2
81800,41109
81900,39815.6
82000,36556.2
82100,38649
82200,37138.4
82300,35497.2
82400,35253.8
82500,33731
82600,32900.4
82700,35525.4
82800,35124.6
82900,32444.2
83000,38500.2
83100,36671.8
